text,category,severity
Teachers are frequently absent and classes remain unsupervised. This is a genuine problem that residents are worried about.,Education,MEDIUM
People are in immediate danger and this cannot wait even a day. The security guard post outside our colony has been vacant for months.,Safety,CRITICAL
The train station lacks a functioning ticket counter most days. This is a cosmetic issue that can be fixed whenever convenient.,Public Transport,LOW
This isn't an emergency but it really should be looked into this week. Auto and taxi drivers are refusing to use the meter and overcharging.,Public Transport,MEDIUM
The school library has been locked and unused since last year. This has been annoying residents for a couple of weeks now.,Education,MEDIUM
"This requires urgent emergency action right now, lives are at risk. There is confusion regarding the local office's working hours.",Other,CRITICAL
This is a minor issue but a small fix would be appreciated. Garbage has not been collected from our street for over a week.,Environment,LOW
"The school library has been locked and unused since last year. This requires urgent emergency action right now, lives are at risk.",Education,CRITICAL
People are in immediate danger and this cannot wait even a day. There is no clean drinking water available in the health center.,Health,CRITICAL
"There was an attempted robbery at the local shop last night. This requires urgent emergency action right now, lives are at risk.",Safety,CRITICAL
Vehicles violate traffic signals constantly at this intersection. People are in immediate danger and this cannot wait even a day.,Public Transport,CRITICAL
This has become a moderate concern causing ongoing inconvenience. There is no doctor available at the primary health clinic after 2 PM.,Health,MEDIUM
"There was a violent altercation near the bus stop yesterday evening. This requires urgent emergency action right now, lives are at risk.",Safety,CRITICAL
Our area does not have any bus stop within walking distance. People are in immediate danger and this cannot wait even a day.,Public Transport,CRITICAL
Sewage water is flowing into the small pond used by local birds. This is a fair concern that's been bothering the whole neighborhood.,Environment,MEDIUM
This is not extremely urgent but is clearly a real problem now. The overhead water tank in our area has started leaking.,Infrastructure,MEDIUM
This has become a serious and hazardous situation for residents. The train station lacks a functioning ticket counter most days.,Public Transport,HIGH
This is putting people at real risk if ignored much longer. Our government school has not had a mathematics teacher for two months.,Education,HIGH
"A minor fire in the electrical box was reported near the market. This requires urgent emergency action right now, lives are at risk.",Safety,CRITICAL
This issue needs attention soon as it is affecting daily life. A nearby factory is dumping waste directly into the river.,Environment,MEDIUM
This isn't an emergency but it really should be looked into this week. Our building's staircase railing is broken and about to fall off.,Infrastructure,MEDIUM
This is a fair concern that's been bothering the whole neighborhood. Police have not responded despite multiple complaints about harassment.,Safety,MEDIUM
"The overhead water tank in our area has started leaking. Whenever someone has time, this would be a nice small fix.",Infrastructure,LOW
We suggest adding more benches near the walking track. This has been ongoing for days and is becoming genuinely serious.,Other,HIGH
"The lake near our society is filled with plastic and industrial waste. This is a small inconvenience, nothing serious at all.",Environment,LOW
"This is urgent and quite severe, please act as soon as possible. Vehicles violate traffic signals constantly at this intersection.",Public Transport,HIGH
There is no doctor available at the primary health clinic after 2 PM. This is a low priority request whenever the concerned team is free.,Health,LOW
This is a severe issue causing real danger to people nearby. The lake near our society is filled with plastic and industrial waste.,Environment,HIGH
This has been annoying residents for a couple of weeks now. The community hall booking process is unclear and inconsistent.,Other,MEDIUM
Untreated waste from the market is polluting the groundwater. This is a critical problem that has been getting worse and worse.,Environment,HIGH
There has been a partial collapse and people could be seriously hurt. Someone is illegally burning plastic waste behind the community hall.,Environment,CRITICAL
This is a low priority request whenever the concerned team is free. The new school building construction has been stalled for a year.,Education,LOW
